px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
53.619	19.9089	2.86872	0.23785	-0.18799	53.5277	19.862	53.3577	19.9486	2.8085	0.393624	0	2.59372	1.07716	0	0.593245
56.0588	21.0489	2.64018	0.395575	0.0259386	56.0322	21.0923	55.9669	20.9874	2.74571	0.364199	0	2.56561	0.978022	1.94451	0
56.0318	21.0366	2.66137	0.391149	0.0215194	55.867	20.985	55.9669	20.9874	2.74571	0.364199	0	2.56561	0.978022	0	0.410004
58.6438	21.7971	2.77849	0.263762	-0.0707947	58.6632	21.7821	58.5484	21.9225	2.67546	0.330885	0	2.53033	0.869205	0.384043	0
58.6487	21.8011	2.82384	0.265168	-0.0692088	58.5799	21.9815	58.5484	21.9225	2.67546	0.330885	0	2.53033	0.869205	0	0.0296089
60.9138	22.7742	2.4413	0.385295	0.0442048	60.8722	22.7876	61.0941	22.7449	2.59847	0.294015	0	2.48697	0.753031	1.07917	0
60.9035	22.766	2.58658	0.381619	0.0402727	60.7648	22.6398	61.0941	22.7449	2.59847	0.294015	0	2.48697	0.753031	0	0.640753
63.3724	23.4291	2.58731	0.253564	-0.0633291	63.3821	23.4069	63.5955	23.4479	2.5155	0.253958	0	2.43482	0.631987	0.408378	0
63.4411	23.4531	2.58967	0.250105	-0.0673062	63.7478	23.7442	63.5955	23.4479	2.5155	0.253958	0	2.43482	0.631987	0	2.0297
66.2969	23.9894	3.02368	0.144142	-0.0882507	66.3403	23.9959	66.0431	24.0276	2.42738	0.211114	0	2.37349	0.508655	0.819294	0
66.1858	23.9409	2.54165	0.118819	-0.113693	65.8838	23.9541	66.0431	24.0276	2.42738	0.211114	0	2.37349	0.508655	0	2.9945
68.3003	24.3454	2.14499	0.137692	-0.0362973	68.262	24.3582	68.4273	24.4824	2.33499	0.16591	0	2.30293	0.385623	0.843507	0
68.3999	24.3792	2.44422	0.156703	-0.0210591	68.6759	24.6059	68.4273	24.4824	2.33499	0.16591	0	2.30293	0.385623	0	2.18833
70.8192	24.8722	2.53375	0.206897	0.0221155	70.8275	24.8844	70.7384	24.8137	2.23925	0.118799	0	2.22347	0.265395	0.111217	0
70.7762	24.8575	2.33709	0.199696	0.015085	70.7403	24.6728	70.7384	24.8137	2.23925	0.118799	0	2.22347	0.265395	0	0.450687
72.9125	24.7597	2.07474	-0.0577318	-0.147885	72.8923	24.7135	72.9675	25.025	2.14112	0.070251	0	2.13584	0.150292	1.356	0
72.9629	24.781	2.21321	-0.0476053	-0.138054	73.0732	25.0343	72.9675	25.025	2.14112	0.070251	0	2.13584	0.150292	0	0.612931
75.004	25.2045	2.04505	0.177069	0.0757254	75.0021	25.2595	75.1062	25.1224	2.04158	0.0207514	0	2.04114	0.0423626	1.81982	0
74.9971	25.2015	2.04857	0.175186	0.0745476	74.9748	25.1378	75.1062	25.1224	2.04158	0.0207514	0	2.04114	0.0423626	0	0.0240008
77.1114	24.9856	2.0757	-0.119383	-0.140468	77.1225	24.9297	77.1475	25.1137	1.94163	-0.0292054	0	1.9408	-0.0566978	1.78963	0
77.1144	24.9781	1.92609	-0.135052	-0.159526	77.1386	25.2948	77.1475	25.1137	1.94163	-0.0292054	0	1.9408	-0.0566978	0	0.480823
79.0836	24.9936	2.01344	-0.0211012	-0.00019834	79.1089	25.0369	79.0861	25.0086	1.84225	-0.0791201	0	1.83649	-0.145607	1.09445	0
79.0843	24.9956	1.92383	-0.0251859	-0.00476469	79.1718	24.9698	79.0861	25.0086	1.84225	-0.0791201	0	1.83649	-0.145607	0	0.161685
80.8236	24.8758	1.76966	-0.0667425	-0.0260294	80.8074	24.8688	80.9183	24.8178	1.74446	-0.128494	0	1.73008	-0.223536	0.127045	0
80.8601	24.8861	1.69059	-0.065785	-0.0306157	81.1423	24.8704	80.9183	24.8178	1.74446	-0.128494	0	1.73008	-0.223536	0	1.03555
82.6104	24.6475	1.82195	-0.150362	-0.0600926	82.6216	24.6393	82.6423	24.5525	1.64922	-0.176834	0	1.6235	-0.29012	0.0972702	0
82.5873	24.6394	1.69325	-0.165378	-0.0740578	82.5085	24.8114	82.6423	24.5525	1.64922	-0.176834	0	1.6235	-0.29012	0	0.178331
84.1715	24.5273	1.62593	-0.0905426	0.00751225	84.1733	24.5504	84.2584	24.2245	1.55748	-0.223657	0	1.51869	-0.345444	0.262906	0
84.1811	24.5294	1.63016	-0.088214	0.00868516	84.2898	24.3312	84.2584	24.2245	1.55748	-0.223657	0	1.51869	-0.345444	0	0.0390261
